#
# * Generated by profiles_gen on Wed Nov 14 16:29:07 PST 2012
#
#           INPUT FILE : D3D_iterdb_kinefit_128913.01500
#          SHOT NUMBER : 128913
#    RADIAL GRIDPOINTS :  51
#               Q_EDGE :  1.03E+01
#
#                 IONS :  d c
# 
#         SIGN(PSI_POL): +
# 
# * An associated input.profiles.geo was also generated
#
#             NFOURIER :      8
#            GATO NPSI :    101
#          GATO NTHETA :    201
#            EFIT HEADER ... 
#
#   EFIT?   05/12/98      #128913  1500             3  65  65          
#
# Psi-shrinkage factor : -1.00E-04
# * Additional information:
#
#      MERGED CER FILE : dplasma_cer_format.128913.1500
#  PLASMA MAJOR RADIUS : 1.66E+00 m
#  PLASMA MINOR RADIUS : 5.99E-01 m
#
# 
N_EXP=51
BT_EXP=+2.0657000E+00
ARHO_EXP=7.7241000E-01
# 
#rho(-)          rmin(m)         rmaj(m)         q(-)            kappa(-)        
 1.3703000E+00   1.5465000E-02   0.0000000E+00   0.0000000E+00   0.0000000E+00
 1.3382000E+00   1.4680000E-02   0.0000000E+00   0.0000000E+00   0.0000000E+00
 1.3036000E+00   1.4062000E-02   0.0000000E+00   0.0000000E+00   0.0000000E+00
 1.2674000E+00   1.3206000E-02   0.0000000E+00   0.0000000E+00   0.0000000E+00
 1.2270000E+00   1.2845000E-02   0.0000000E+00   0.0000000E+00   0.0000000E+00
 1.1777000E+00   1.3073000E-02   0.0000000E+00   0.0000000E+00   0.0000000E+00
 1.0952000E+00   1.4217000E-02   0.0000000E+00   0.0000000E+00   0.0000000E+00
 9.5124000E-01   1.6607000E-02   0.0000000E+00   0.0000000E+00   0.0000000E+00
 7.5384000E-01   1.6014000E-02   0.0000000E+00   0.0000000E+00   0.0000000E+00
# 
#Ti_1 (keV)      Ti_2 (keV)      Ti_3 (keV)      Ti_4 (keV)      Ti_5 (keV)      
 1.9414000E+00   1.9414000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
 1.9368000E+00   1.9368000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
 1.9234000E+00   1.9234000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
 1.9020000E+00   1.9020000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
 1.8732000E+00   1.8732000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
 1.8379000E+00   1.8379000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
 1.7967000E+00   1.7967000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
 1.7504000E+00   1.7504000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
 1.6997000E+00   1.6997000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
 1.6453000E+00   1.6453000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
 1.5880000E+00   1.5880000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
 1.5284000E+00   1.5284000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
 1.4674000E+00   1.4674000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
 1.4057000E+00   1.4057000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
 1.3439000E+00   1.3439000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
 1.2828000E+00   1.2828000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
 1.2232000E+00   1.2232000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
 1.1657000E+00   1.1657000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
 1.1112000E+00   1.1112000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
 1.0601000E+00   1.0601000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
 1.0128000E+00   1.0128000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
 9.6878000E-01   9.6878000E-01   0.0000000E+00   0.0000000E+00   0.0000000E+00
 9.2789000E-01   9.2789000E-01   0.0000000E+00   0.0000000E+00   0.0000000E+00
 8.8985000E-01   8.8985000E-01   0.0000000E+00   0.0000000E+00   0.0000000E+00
 8.5439000E-01   8.5439000E-01   0.0000000E+00   0.0000000E+00   0.0000000E+00
 8.2124000E-01   8.2124000E-01   0.0000000E+00   0.0000000E+00   0.0000000E+00
 7.9013000E-01   7.9013000E-01   0.0000000E+00   0.0000000E+00   0.0000000E+00
 7.6081000E-01   7.6081000E-01   0.0000000E+00   0.0000000E+00   0.0000000E+00
 7.3300000E-01   7.3300000E-01   0.0000000E+00   0.0000000E+00   0.0000000E+00
 7.0644000E-01   7.0644000E-01   0.0000000E+00   0.0000000E+00   0.0000000E+00
 6.8087000E-01   6.8087000E-01   0.0000000E+00   0.0000000E+00   0.0000000E+00
 6.5601000E-01   6.5601000E-01   0.0000000E+00   0.0000000E+00   0.0000000E+00
 6.3160000E-01   6.3160000E-01   0.0000000E+00   0.0000000E+00   0.0000000E+00
 6.0741000E-01   6.0741000E-01   0.0000000E+00   0.0000000E+00   0.0000000E+00
 5.8331000E-01   5.8331000E-01   0.0000000E+00   0.0000000E+00   0.0000000E+00
 5.5921000E-01   5.5921000E-01   0.0000000E+00   0.0000000E+00   0.0000000E+00
 5.3503000E-01   5.3503000E-01   0.0000000E+00   0.0000000E+00   0.0000000E+00
 5.1069000E-01   5.1069000E-01   0.0000000E+00   0.0000000E+00   0.0000000E+00
 4.8609000E-01   4.8609000E-01   0.0000000E+00   0.0000000E+00   0.0000000E+00
 4.6115000E-01   4.6115000E-01   0.0000000E+00   0.0000000E+00   0.0000000E+00
 4.3579000E-01   4.3579000E-01   0.0000000E+00   0.0000000E+00   0.0000000E+00
 4.0991000E-01   4.0991000E-01   0.0000000E+00   0.0000000E+00   0.0000000E+00
 3.8344000E-01   3.8344000E-01   0.0000000E+00   0.0000000E+00   0.0000000E+00
 3.5628000E-01   3.5628000E-01   0.0000000E+00   0.0000000E+00   0.0000000E+00
 3.2845000E-01   3.2845000E-01   0.0000000E+00   0.0000000E+00   0.0000000E+00
 3.0004000E-01   3.0004000E-01   0.0000000E+00   0.0000000E+00   0.0000000E+00
 2.7114000E-01   2.7114000E-01   0.0000000E+00   0.0000000E+00   0.0000000E+00
 2.4186000E-01   2.4186000E-01   0.0000000E+00   0.0000000E+00   0.0000000E+00
 2.1228000E-01   2.1228000E-01   0.0000000E+00   0.0000000E+00   0.0000000E+00
 1.8251000E-01   1.8251000E-01   0.0000000E+00   0.0000000E+00   0.0000000E+00
 1.5264000E-01   1.5264000E-01   0.0000000E+00   0.0000000E+00   0.0000000E+00
# 
#vtor_1 (m/s)    vtor_2 (m/s)    vtor_3 (m/s)    vtor_4 (m/s)    vtor_5 (m/s)    
 0.0000000E+00  -1.1338900E+05   0.0000000E+00   0.0000000E+00   0.0000000E+00
 0.0000000E+00  -1.1415200E+05   0.0000000E+00   0.0000000E+00   0.0000000E+00
 0.0000000E+00  -1.1477500E+05   0.0000000E+00   0.0000000E+00   0.0000000E+00
 0.0000000E+00  -1.1515700E+05   0.0000000E+00   0.0000000E+00   0.0000000E+00
 0.0000000E+00  -1.1534200E+05   0.0000000E+00   0.0000000E+00   0.0000000E+00
 0.0000000E+00  -1.1532700E+05   0.0000000E+00   0.0000000E+00   0.0000000E+00
 0.0000000E+00  -1.1510700E+05   0.0000000E+00   0.0000000E+00   0.0000000E+00
 0.0000000E+00  -1.1469800E+05   0.0000000E+00   0.0000000E+00   0.0000000E+00
 0.0000000E+00  -1.1409900E+05   0.0000000E+00   0.0000000E+00   0.0000000E+00
 0.0000000E+00  -1.1330600E+05   0.0000000E+00   0.0000000E+00   0.0000000E+00
 0.0000000E+00  -1.1233100E+05   0.0000000E+00   0.0000000E+00   0.0000000E+00
 0.0000000E+00  -1.1117800E+05   0.0000000E+00   0.0000000E+00   0.0000000E+00
 0.0000000E+00  -1.0984700E+05   0.0000000E+00   0.0000000E+00   0.0000000E+00
 0.0000000E+00  -1.0833900E+05   0.0000000E+00   0.0000000E+00   0.0000000E+00
 0.0000000E+00  -1.0666500E+05   0.0000000E+00   0.0000000E+00   0.0000000E+00
 0.0000000E+00  -1.0482800E+05   0.0000000E+00   0.0000000E+00   0.0000000E+00
 0.0000000E+00  -1.0282900E+05   0.0000000E+00   0.0000000E+00   0.0000000E+00
 0.0000000E+00  -1.0066900E+05   0.0000000E+00   0.0000000E+00   0.0000000E+00
 0.0000000E+00  -9.8355800E+04   0.0000000E+00   0.0000000E+00   0.0000000E+00
 0.0000000E+00  -9.5894600E+04   0.0000000E+00   0.0000000E+00   0.0000000E+00
 0.0000000E+00  -9.3294600E+04   0.0000000E+00   0.0000000E+00   0.0000000E+00
 0.0000000E+00  -9.0579500E+04   0.0000000E+00   0.0000000E+00   0.0000000E+00
 0.0000000E+00  -8.7777500E+04   0.0000000E+00   0.0000000E+00   0.0000000E+00
 0.0000000E+00  -8.4921500E+04   0.0000000E+00   0.0000000E+00   0.0000000E+00
 0.0000000E+00  -8.2041600E+04   0.0000000E+00   0.0000000E+00   0.0000000E+00
 0.0000000E+00  -7.9168700E+04   0.0000000E+00   0.0000000E+00   0.0000000E+00
 0.0000000E+00  -7.6334700E+04   0.0000000E+00   0.0000000E+00   0.0000000E+00
 0.0000000E+00  -7.3572400E+04   0.0000000E+00   0.0000000E+00   0.0000000E+00
 0.0000000E+00  -7.0914600E+04   0.0000000E+00   0.0000000E+00   0.0000000E+00
 0.0000000E+00  -6.8371600E+04   0.0000000E+00   0.0000000E+00   0.0000000E+00
 0.0000000E+00  -6.5931200E+04   0.0000000E+00   0.0000000E+00   0.0000000E+00
 0.0000000E+00  -6.3581600E+04   0.0000000E+00   0.0000000E+00   0.0000000E+00
 0.0000000E+00  -6.1310900E+04   0.0000000E+00   0.0000000E+00   0.0000000E+00
 0.0000000E+00  -5.9107400E+04   0.0000000E+00   0.0000000E+00   0.0000000E+00
 0.0000000E+00  -5.6959300E+04   0.0000000E+00   0.0000000E+00   0.0000000E+00
 0.0000000E+00  -5.4854600E+04   0.0000000E+00   0.0000000E+00   0.0000000E+00
 0.0000000E+00  -5.2781800E+04   0.0000000E+00   0.0000000E+00   0.0000000E+00
 0.0000000E+00  -5.0729400E+04   0.0000000E+00   0.0000000E+00   0.0000000E+00
 0.0000000E+00  -4.8684400E+04   0.0000000E+00   0.0000000E+00   0.0000000E+00
 0.0000000E+00  -4.6635000E+04   0.0000000E+00   0.0000000E+00   0.0000000E+00
 0.0000000E+00  -4.4570000E+04   0.0000000E+00   0.0000000E+00   0.0000000E+00
 0.0000000E+00  -4.2477000E+04   0.0000000E+00   0.0000000E+00   0.0000000E+00
 0.0000000E+00  -4.0346500E+04   0.0000000E+00   0.0000000E+00   0.0000000E+00
 0.0000000E+00  -3.8184000E+04   0.0000000E+00   0.0000000E+00   0.0000000E+00
 0.0000000E+00  -3.5989400E+04   0.0000000E+00   0.0000000E+00   0.0000000E+00
 0.0000000E+00  -3.3769500E+04   0.0000000E+00   0.0000000E+00   0.0000000E+00
 0.0000000E+00  -3.1523900E+04   0.0000000E+00   0.0000000E+00   0.0000000E+00
 0.0000000E+00  -2.9258600E+04   0.0000000E+00   0.0000000E+00   0.0000000E+00
 0.0000000E+00  -2.6974400E+04   0.0000000E+00   0.0000000E+00   0.0000000E+00
 0.0000000E+00  -2.4671500E+04   0.0000000E+00   0.0000000E+00   0.0000000E+00
 0.0000000E+00  -2.2354400E+04   0.0000000E+00   0.0000000E+00   0.0000000E+00
# 
#vpol_1 (m/s)    vpol_2 (m/s)    vpol_3 (m/s)    vpol_4 (m/s)    vpol_5 (m/s)    
 0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
 0.0000000E+00  -3.8519500E-03   0.0000000E+00   0.0000000E+00   0.0000000E+00
 0.0000000E+00  -2.0177500E-02   0.0000000E+00   0.0000000E+00   0.0000000E+00
 0.0000000E+00  -3.2819200E-02   0.0000000E+00   0.0000000E+00   0.0000000E+00
 0.0000000E+00   2.3149900E-03   0.0000000E+00   0.0000000E+00   0.0000000E+00
 0.0000000E+00   1.5454200E-01   0.0000000E+00   0.0000000E+00   0.0000000E+00
 0.0000000E+00   5.3069600E-01   0.0000000E+00   0.0000000E+00   0.0000000E+00
 0.0000000E+00   1.2388100E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
 0.0000000E+00   2.4196700E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
 0.0000000E+00   4.2718300E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
 0.0000000E+00   6.9541600E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
 0.0000000E+00   1.0673600E+01   0.0000000E+00   0.0000000E+00   0.0000000E+00
 0.0000000E+00   1.5690300E+01   0.0000000E+00   0.0000000E+00   0.0000000E+00
 0.0000000E+00   2.2278800E+01   0.0000000E+00   0.0000000E+00   0.0000000E+00
 0.0000000E+00   3.0661100E+01   0.0000000E+00   0.0000000E+00   0.0000000E+00
 0.0000000E+00   4.1105300E+01   0.0000000E+00   0.0000000E+00   0.0000000E+00
 0.0000000E+00   5.3894900E+01   0.0000000E+00   0.0000000E+00   0.0000000E+00
 0.0000000E+00   6.9375600E+01   0.0000000E+00   0.0000000E+00   0.0000000E+00
 0.0000000E+00   8.7694000E+01   0.0000000E+00   0.0000000E+00   0.0000000E+00
 0.0000000E+00   1.0905100E+02   0.0000000E+00   0.0000000E+00   0.0000000E+00
 0.0000000E+00   1.3366700E+02   0.0000000E+00   0.0000000E+00   0.0000000E+00
 0.0000000E+00   1.6181300E+02   0.0000000E+00   0.0000000E+00   0.0000000E+00
 0.0000000E+00   1.9376100E+02   0.0000000E+00   0.0000000E+00   0.0000000E+00
 0.0000000E+00   2.2954300E+02   0.0000000E+00   0.0000000E+00   0.0000000E+00
 0.0000000E+00   2.6926200E+02   0.0000000E+00   0.0000000E+00   0.0000000E+00
 0.0000000E+00   3.1296100E+02   0.0000000E+00   0.0000000E+00   0.0000000E+00
 0.0000000E+00   3.6063900E+02   0.0000000E+00   0.0000000E+00   0.0000000E+00
 0.0000000E+00   4.1228000E+02   0.0000000E+00   0.0000000E+00   0.0000000E+00
 0.0000000E+00   4.6762600E+02   0.0000000E+00   0.0000000E+00   0.0000000E+00
 0.0000000E+00   5.2534500E+02   0.0000000E+00   0.0000000E+00   0.0000000E+00
 0.0000000E+00   5.8380300E+02   0.0000000E+00   0.0000000E+00   0.0000000E+00
 0.0000000E+00   6.4135300E+02   0.0000000E+00   0.0000000E+00   0.0000000E+00
 0.0000000E+00   6.9634400E+02   0.0000000E+00   0.0000000E+00   0.0000000E+00
 0.0000000E+00   7.4714400E+02   0.0000000E+00   0.0000000E+00   0.0000000E+00
 0.0000000E+00   7.9219500E+02   0.0000000E+00   0.0000000E+00   0.0000000E+00
 0.0000000E+00   8.3001900E+02   0.0000000E+00   0.0000000E+00   0.0000000E+00
 0.0000000E+00   8.5921700E+02   0.0000000E+00   0.0000000E+00   0.0000000E+00
 0.0000000E+00   8.7803500E+02   0.0000000E+00   0.0000000E+00   0.0000000E+00
 0.0000000E+00   8.8552500E+02   0.0000000E+00   0.0000000E+00   0.0000000E+00
 0.0000000E+00   8.8073300E+02   0.0000000E+00   0.0000000E+00   0.0000000E+00
 0.0000000E+00   8.6291800E+02   0.0000000E+00   0.0000000E+00   0.0000000E+00
 0.0000000E+00   8.3085200E+02   0.0000000E+00   0.0000000E+00   0.0000000E+00
 0.0000000E+00   7.8386900E+02   0.0000000E+00   0.0000000E+00   0.0000000E+00
 0.0000000E+00   7.2498700E+02   0.0000000E+00   0.0000000E+00   0.0000000E+00
 0.0000000E+00   6.5507300E+02   0.0000000E+00   0.0000000E+00   0.0000000E+00
 0.0000000E+00   5.7765800E+02   0.0000000E+00   0.0000000E+00   0.0000000E+00
 0.0000000E+00   4.9387300E+02   0.0000000E+00   0.0000000E+00   0.0000000E+00
 0.0000000E+00   4.0599300E+02   0.0000000E+00   0.0000000E+00   0.0000000E+00
 0.0000000E+00   3.1478800E+02   0.0000000E+00   0.0000000E+00   0.0000000E+00
 0.0000000E+00   2.2148000E+02   0.0000000E+00   0.0000000E+00   0.0000000E+00
 0.0000000E+00   1.2769000E+02   0.0000000E+00   0.0000000E+00   0.0000000E+00
