#
# * Generated by profiles_gen on Wed Nov 14 16:29:07 PST 2012
#
#           INPUT FILE : D3D_iterdb_kinefit_128913.01500
#          SHOT NUMBER : 128913
#    RADIAL GRIDPOINTS :  51
#               Q_EDGE :  1.03E+01
#
#                 IONS :  d c
# 
#         SIGN(PSI_POL): +
# 
# * An associated input.profiles.geo was also generated
#
#             NFOURIER :      8
#            GATO NPSI :    101
#          GATO NTHETA :    201
#            EFIT HEADER ... 
#
#   EFIT?   05/12/98      #128913  1500             3  65  65          
#
# Psi-shrinkage factor : -1.00E-04
# * Additional information:
#
#      MERGED CER FILE : dplasma_cer_format.128913.1500
#  PLASMA MAJOR RADIUS : 1.66E+00 m
#  PLASMA MINOR RADIUS : 5.99E-01 m
#
# 
N_EXP=51
BT_EXP=+2.0657000E+00
ARHO_EXP=7.7241000E-01
# 
#rho(-)          rmin(m)         rmaj(m)         q(-)            kappa(-)        
 3.2371462E-02   2.3589000E+00   3.2277000E+00   1.2394000E+00  -5.9765100E+04
 3.7039221E-02   2.2915000E+00   3.1773000E+00   1.2425000E+00  -5.9122900E+04
 4.1667555E-02   2.2187000E+00   3.1226000E+00   1.2459000E+00  -5.8399600E+04
 4.6226330E-02   2.1414000E+00   3.0641000E+00   1.2497000E+00  -5.7598500E+04
 5.0713922E-02   2.0604000E+00   3.0023000E+00   1.2538000E+00  -5.6718700E+04
 5.5106261E-02   1.9768000E+00   2.9378000E+00   1.2582000E+00  -5.5760500E+04
 5.9416255E-02   1.8911000E+00   2.8713000E+00   1.2629000E+00  -5.4732100E+04
 6.3665651E-02   1.8045000E+00   2.8031000E+00   1.2678000E+00  -5.3628100E+04
 6.7848301E-02   1.7176000E+00   2.7340000E+00   1.2729000E+00  -5.2452300E+04
 7.1977958E-02   1.6314000E+00   2.6644000E+00   1.2782000E+00  -5.1203300E+04
 7.6096435E-02   1.5468000E+00   2.5949000E+00   1.2836000E+00  -4.9885100E+04
 8.0229070E-02   1.4645000E+00   2.5261000E+00   1.2892000E+00  -4.8500100E+04
 8.4396078E-02   1.3854000E+00   2.4585000E+00   1.2947000E+00  -4.7043300E+04
 8.8632447E-02   1.3104000E+00   2.3927000E+00   1.3002000E+00  -4.5504000E+04
 9.2956860E-02   1.2396000E+00   2.3292000E+00   1.3056000E+00  -4.3898100E+04
 9.7384529E-02   1.1727000E+00   2.2686000E+00   1.3106000E+00  -4.2244500E+04
 1.0192185E-01   1.1094000E+00   2.2115000E+00   1.3153000E+00  -4.0560600E+04
 1.0658952E-01   1.0493000E+00   2.1577000E+00   1.3195000E+00  -3.8863300E+04
 1.1142946E-01   9.9217000E-01   2.1071000E+00   1.3233000E+00  -3.7169400E+04
 1.1642110E-01   9.3766000E-01   2.0595000E+00   1.3267000E+00  -3.5495300E+04
 1.2162460E-01   8.8544000E-01   2.0144000E+00   1.3295000E+00  -3.3857400E+04
 1.2708233E-01   8.3520000E-01   1.9718000E+00   1.3319000E+00  -3.2271500E+04
 1.3282211E-01   7.8661000E-01   1.9312000E+00   1.3338000E+00  -3.0745300E+04
 1.3887948E-01   7.3936000E-01   1.8925000E+00   1.3352000E+00  -2.9276600E+04
 1.4529092E-01   6.9312000E-01   1.8553000E+00   1.3362000E+00  -2.7862600E+04
 1.5209004E-01   6.4763000E-01   1.8195000E+00   1.3368000E+00  -2.6500300E+04
