% ES no collisions - GKW results (GYRO units)

%  ktrho_s    omega    gamma 
    0.0929    0.0291    0.1530
    0.1858    0.0305    0.3154
    0.2786    0.0211    0.4236
    0.3715    0.0129    0.4728
    0.4644    0.0391    0.4719
    0.5573    0.1150    0.4809
    0.6502    0.1949    0.5175
    0.7430    0.2701    0.5671
    0.8359    0.3423    0.6255
    0.9288    0.4130    0.6916
    1.0217    0.4830    0.7650
    1.1146    0.5529    0.8453
    1.2074    0.6229    0.9317
